"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2018",53025.386896,
"AUS","GDP","TOT","USD_CAP","A","2019",52785.250556,
"AUS","GDP","TOT","USD_CAP","A","2020",55772.741079,
"AUS","GDP","TOT","USD_CAP","A","2021",62095.40433,
"AUS","GDP","TOT","USD_CAP","A","2022",68700.89428,"E"
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.612013,
"AUT","GDP","TOT","USD_CAP","A","2020",57258.818295,
"AUT","GDP","TOT","USD_CAP","A","2021",59991.439846,
"AUT","GDP","TOT","USD_CAP","A","2022",68664.352448,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55804.713631,
"BEL","GDP","TOT","USD_CAP","A","2020",54544.41924,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58845.530928,"P"
"BEL","GDP","TOT","USD_CAP","A","2022",65818.301179,"P"
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CAN","GDP","TOT","USD_CAP","A","2020",47226.357276,
"CAN","GDP","TOT","USD_CAP","A","2021",53023.405782,
"CAN","GDP","TOT","USD_CAP","A","2022",57007.784478,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.295751,
"CZE","GDP","TOT","USD_CAP","A","2020",42817.867499,
"CZE","GDP","TOT","USD_CAP","A","2021",44813.002627,
"CZE","GDP","TOT","USD_CAP","A","2022",49956.512049,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"DNK","GDP","TOT","USD_CAP","A","2020",60846.803672,
"DNK","GDP","TOT","USD_CAP","A","2021",64914.189543,
"DNK","GDP","TOT","USD_CAP","A","2022",74961.907363,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FIN","GDP","TOT","USD_CAP","A","2020",52294.342491,
"FIN","GDP","TOT","USD_CAP","A","2021",54701.696922,
"FIN","GDP","TOT","USD_CAP","A","2022",59808.219831,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50222.232835,
"FRA","GDP","TOT","USD_CAP","A","2020",47828.528542,
"FRA","GDP","TOT","USD_CAP","A","2021",51011.836944,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",55698.406803,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.473982,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56482.377267,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58799.012445,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",64146.412385,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.946796,
"GRC","GDP","TOT","USD_CAP","A","2020",28416.523031,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31297.164572,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",37212.227345,"P"
"HUN","GDP","TOT","USD_CAP","A","2018",31908.863431,
