Lp;Chleb;Mleko;Ser;Szynka;Maslo;Pomidory
1;1;1;0;1;1;0
2;0;1;1;0;1;1
3;1;0;1;1;1;0
4;0;1;0;1;0;1
5;1;1;1;0;0;1
6;0;0;1;1;1;1
7;1;1;0;0;1;1
8;0;0;1;1;1;0
9;1;1;1;0;0;1
10;0;1;0;1;1;1
11;1;0;1;0;1;1
12;0;1;0;1;1;0
13;1;0;1;1;0;1
14;0;1;1;0;1;0
15;1;1;0;1;0;1
16;0;0;1;0;1;1
17;1;0;0;1;1;1
18;0;1;1;1;0;1
19;1;1;0;0;1;1
20;0;1;0;1;1;1
21;1;0;1;0;1;1
22;1;0;0;1;1;0
23;0;1;1;0;1;1
24;1;0;0;1;1;1
25;0;1;1;1;0;1
26;1;1;0;1;1;0
27;0;1;0;0;1;1
28;1;0;1;0;1;1
29;1;0;0;1;1;1
30;0;1;1;0;1;1
31;1;0;1;1;0;1
32;0;1;1;1;1;0
33;1;0;1;1;1;0
34;0;0;1;1;1;1
35;1;0;0;1;1;1
36;1;1;0;1;1;0
37;0;1;1;0;1;1
38;1;0;1;1;0;1
39;0;1;0;1;1;1
40;1;0;1;0;1;1
41;0;1;1;1;1;0
42;1;1;0;1;0;1
43;0;1;0;0;1;1
44;1;0;1;0;1;1
45;0;1;1;0;1;1
46;1;0;1;1;0;1
47;1;1;0;1;1;0
48;0;1;0;1;1;1
49;0;1;0;1;1;1
50;1;0;1;1;0;1
