Lp;Metraz;Pokoje;Cena
1;11;1;245000
2;14;1;149000
3;14;1;160000
4;22;1;375000
5;25;1;376000
6;25;1;487000
7;25;1;202000
8;26;1;199000
9;26;2;220000
10;28;2;195000
11;28;2;252000
12;29;1;189000
13;31;2;412000
14;34;1;369000
15;34;2;446000
16;36;2;170000
17;38;2;210000
18;38;2;414000
19;38;2;275000
20;39;2;200000
21;39;2;309000
22;39;1;589000
23;40;2;355000
24;45;3;253990
25;45;2;269000
26;45;2;269000
27;45;2;397000
28;46;1;600000
29;46;1;599000
30;47;3;410000
31;49;2;225000
32;49;2;259000
33;49;2;489000
34;52;3;447000
35;52;3;932000
36;52;3;447000
37;52;3;932000
38;52;2;560000
39;54;3;389900
40;54;3;591000
41;56;3;676900
42;57;3;588000
43;57;2;785000
44;57;3;588000
45;57;2;785000
46;58;3;405000
47;59;2;495000
48;60;2;495000
49;61;3;501000
50;62;3;855000
51;66;3;884000
52;66;3;360000
53;66;4;733000
54;70;4;937000
55;70;4;603000
56;74;4;486000
57;75;4;580000
58;77;4;910000
59;78;5;912000
60;78;4;616000
61;78;5;912000
62;80;4;743000
63;82;3;489000
64;83;4;764000
65;85;3;1209000
66;87;3;640000
67;88;4;2000000
68;88;3;557000
69;101;4;770000
70;101;4;770000
71;101;4;889000
72;105;3;1139000
73;106;3;2175000
74;107;4;849900
75;107;4;849000
76;109;3;759000
77;114;5;1083000
78;114;4;899000
79;120;5;464000
80;121;5;699000
81;123;4;4487000
82;130;4;910000
83;134;5;799000
84;138;4;830000
85;140;5;1789000
86;140;4;900000
87;146;6;1150000
88;158;5;699000
89;170;4;926000
90;212;6;1360000
